,zona,enderecos_lista,area,quartos,aluguel
138,norte,"Rua Henrique Felipe Da Costa, Vila Guilherme, São Paulo Zona Norte, São Paulo",62.0,2.0,1600
139,norte,"Rua Nicolau Tolentino De Almeida 61, Vila Dionisia, São Paulo Zona Norte, São Paulo",45.0,2.0,1000
140,norte,"Rua Buracica, Jardim Modelo, São Paulo Zona Norte, São Paulo",30.0,1.0,1150
141,norte,"Rua Voluntários Da Pátria, Santana, São Paulo Zona Norte, São Paulo",90.0,3.0,1560
142,norte,"Rua Ismael Neri, Água Fria, São Paulo Zona Norte, São Paulo",60.0,1.0,1400
143,norte,"Paulo De Avelar, Vila Dom Pedro Ii, São Paulo Zona Norte, São Paulo",90.0,,2500
144,norte,"Avenida Braz Leme, Santana, São Paulo Zona Norte, São Paulo",100.0,3.0,2150
145,norte,"Rua Padre Azevedo, Jardim São Paulo, São Paulo Zona Norte, São Paulo",321.0,3.0,7800
146,norte,"Rua Francisca Júlia, Santana, São Paulo Zona Norte, São Paulo",130.0,3.0,4750
147,norte,"Rua Galiléia, Casa Verde, São Paulo Zona Norte, São Paulo",450.0,2.0,8000
148,norte,"Rua Jaboatão, Casa Verde, São Paulo Zona Norte, São Paulo",65.0,2.0,1470
149,norte,"Avenida José Maria Fernandes, Parque Novo Mundo, São Paulo Zona Norte, São Paulo",64.0,3.0,1600
150,norte,"Soldado José Rufino Costa, Parque Novo Mundo, São Paulo Zona Norte, São Paulo",600.0,,10000
151,norte,"Reims 120, Casa Verde, São Paulo Zona Norte, São Paulo",70.0,3.0,1799
152,norte,"Rua Caetano Gonçalves, Chora Menino, São Paulo Zona Norte, São Paulo",70.0,1.0,1365
153,norte,"Rua Francisca Júlia, Santana, São Paulo Zona Norte, São Paulo",224.0,3.0,5400
154,norte,"Rua Aragão, Vila Mazzei, São Paulo Zona Norte, São Paulo",35.0,1.0,1200
155,norte,"Avenida Nova Cantareira, Tucuruvi, São Paulo Zona Norte, São Paulo",75.0,2.0,4200
156,norte,"Rua Araçoiaba Da Serra, Tucuruvi, São Paulo Zona Norte, São Paulo",50.0,2.0,1900
157,norte,"Rua Maquinista Trigo, Vila Isolina Mazzei, São Paulo Zona Norte, São Paulo",50.0,1.0,1250
158,norte,"Rua José Debieux, Santana, São Paulo Zona Norte, São Paulo",66.0,2.0,2500
159,norte,"Rua Danúbio Azul, Jardim Japão, São Paulo Zona Norte, São Paulo",380.0,4.0,12880
160,norte,"Rua Jeni Klabin Segall, Sítio Do Mandaqui, São Paulo Zona Norte, São Paulo",100.0,3.0,2150
161,norte,"Rua Eurico Sodré, Vila Medeiros, São Paulo Zona Norte, São Paulo",100.0,2.0,1800
162,norte,"Rua Aburá, Sítio Do Mandaqui, São Paulo Zona Norte, São Paulo",80.0,2.0,2660
163,norte,"Avenida Jaçanã, Jaçanã, São Paulo Zona Norte, São Paulo",90.0,3.0,1900
164,norte,"Rua Araritaguaba, Vila Maria, São Paulo Zona Norte, São Paulo",120.0,2.0,2800
165,norte,"Rua Álvaro Dos Santos, Jardim Brasil, São Paulo Zona Norte, São Paulo",30.0,1.0,850
166,norte,"Rua Santa Eudóxia, 963 Cs 9, Parque Peruche, São Paulo Zona Norte, São Paulo",55.0,2.0,1375
167,norte,"Rua Adelfa De Figueiredo, Jardim Paraíso, São Paulo Zona Norte, São Paulo",82.0,2.0,4000
168,norte,"Avenida Guilherme Cotching, Vila Maria, São Paulo Zona Norte, São Paulo",60.0,2.0,1630
169,norte,"Av. Álvaro Machado Pedrosa, Parada Inglesa, São Paulo Zona Norte, São Paulo",120.0,4.0,2180
170,norte,"Rua Carlos Escobar, Santana, São Paulo Zona Norte, São Paulo",162.0,4.0,4460
171,norte,"Rua Augusto Gil, Vila Dionisia, São Paulo Zona Norte, São Paulo",80.0,4.0,2400
172,norte,"Avenida Júlio Buono, Vila Gustavo, São Paulo Zona Norte, São Paulo",62.0,2.0,3000
173,norte,"Rua Jaguaretê, Casa Verde, São Paulo Zona Norte, São Paulo",53.0,2.0,1670
174,norte,"Rua Márcio Mazzei, Vila Nova Mazzei, São Paulo Zona Norte, São Paulo",67.0,2.0,1280
175,norte,"Rua Carlos Gomes, Tucuruvi, São Paulo Zona Norte, São Paulo",90.0,3.0,2500
176,norte,"Avenida Santa Inês, Parque Mandaqui, São Paulo Zona Norte, São Paulo",120.0,2.0,1680
177,norte,"Rua José De Almeida, Vila Medeiros, São Paulo Zona Norte, São Paulo",82.0,3.0,1840
178,norte,"Avenida General Ataliba Leonel, Parada Inglesa, São Paulo Zona Norte, São Paulo",60.0,2.0,2400
179,norte,"Avenida Clavásio Alves Da Silva, Vila Siqueira (zona Norte), São Paulo Zona Norte, São Paulo",90.0,3.0,1520
180,norte,"Rua Monte Cassino, Casa Verde, São Paulo Zona Norte, São Paulo",577.0,5.0,15000
181,norte,"Rua Doutor Guilherme Cristoffel, Santana, São Paulo Zona Norte, São Paulo",229.0,4.0,7500
182,norte,"Rua Galiléia, Casa Verde Média, São Paulo Zona Norte, São Paulo",300.0,3.0,3500
183,norte,"Avenida Sanatório, Jardim Modelo, São Paulo Zona Norte, São Paulo",40.0,1.0,950
184,norte,"Rua Doutor Pedro Jabur, Vila Pereira Cerca, São Paulo Zona Norte, São Paulo",90.0,2.0,1365
185,norte,"Rua Ida Da Silva, Vila Guilherme, São Paulo Zona Norte, São Paulo",100.0,2.0,2616
186,norte,"Rua José De Oliveira, Parque Peruche, São Paulo Zona Norte, São Paulo",50.0,2.0,1560
187,norte,"Rua Artur, Imirim, São Paulo Zona Norte, São Paulo",60.0,1.0,1200
188,norte,"Rua Dos Sitiantes, Itaberaba, São Paulo Zona Norte, São Paulo",85.0,2.0,2070
189,norte,"Rua Itamonte, Vila Medeiros, São Paulo Zona Norte, São Paulo",48.0,2.0,2050
190,norte,"Rua Emílio Rodrigues, Vila Paiva, São Paulo Zona Norte, São Paulo",90.0,2.0,1900
191,norte,"Rua Plácido Leão, Vila Diva (zona Norte), São Paulo Zona Norte, São Paulo",250.0,3.0,2500
192,norte,"Rua Macaiá-mirim, Santana, São Paulo Zona Norte, São Paulo",110.0,3.0,2300
193,norte,"Rua Eugênio De Freitas, Vila Guilherme, São Paulo Zona Norte, São Paulo",49.0,2.0,2050
194,norte,"Avenida Gustavo Adolfo, Vila Gustavo, São Paulo Zona Norte, São Paulo",110.0,2.0,2200
195,norte,"Rua Pontins, Santana, São Paulo Zona Norte, São Paulo",78.0,2.0,3400
196,norte,"Travessa Dona Amélia Vieira Pita, Chora Menino, São Paulo Zona Norte, São Paulo",55.0,2.0,1850
197,norte,"Rua Do Tramway, Tucuruvi, São Paulo Zona Norte, São Paulo",47.0,1.0,1700
198,norte,"Rua Ventura Carneiro, Vila Celeste, São Paulo Zona Norte, São Paulo",42.0,2.0,1320
199,norte,"Rua Conselheiro Moreira De Barros, Santana, São Paulo Zona Norte, São Paulo",57.0,1.0,1490
200,norte,"Rua Voluntários Da Pátria, Santana, São Paulo Zona Norte, São Paulo",23.0,1.0,1600
201,norte,"Travessa Urbano Do Carmo Curado, Parque Vitória, São Paulo Zona Norte, São Paulo",70.0,2.0,1650
202,norte,"Avenida Rangel Pestana, Jardim Brasília (zona Norte), São Paulo Zona Norte, São Paulo",34.0,1.0,1120
203,norte,"Rua Zanzibar, Casa Verde, São Paulo Zona Norte, São Paulo",63.0,1.0,3800
204,norte,"Rua George Chahestian, Vila Basileia, São Paulo Zona Norte, São Paulo",150.0,3.0,2560
205,norte,"Rua Ezequiel Freire, Santana, São Paulo Zona Norte, São Paulo",80.0,3.0,1800
206,norte,"Rua Martiniano De Carvalho, Vila Bela Vista (capital Zona Norte), São Paulo Zona Norte, São Paulo",68.0,2.0,2500
207,norte,"Rua Doutor Zuquim, Santana, São Paulo Zona Norte, São Paulo",240.0,3.0,8200
208,norte,"Rua Pero De Campos, Água Fria, São Paulo Zona Norte, São Paulo",119.0,3.0,5130
209,norte,"Avenida Do Guacá, Lauzane Paulista, São Paulo Zona Norte, São Paulo",78.0,3.0,2480
210,norte,"Rua Areia Do Rosário, Jardim Modelo, São Paulo Zona Norte, São Paulo",48.0,2.0,1580
211,norte,"R. Pixibas, Vila Gustavo, São Paulo Zona Norte, São Paulo",90.0,1.0,1434
212,norte,"Rua Doutor Zuquim, Santana, São Paulo Zona Norte, São Paulo",67.0,3.0,3510
213,norte,"Rua Duarte De Azevedo, Santana, São Paulo Zona Norte, São Paulo",90.0,3.0,2100
214,norte,"Rua Laranjeira, Jardim Peri, São Paulo Zona Norte, São Paulo",58.0,2.0,1200
215,norte,"Rua Eduardo Vicente Nasser, Barro Branco, São Paulo Zona Norte, São Paulo",400.0,3.0,11340
216,norte,"Rua Juan Arfe, Vila Cruz Das Almas, São Paulo Zona Norte, São Paulo",45.0,2.0,1600
217,norte,"Avenida Parada Pinto, Vila Nova Cachoeirinha, São Paulo Zona Norte, São Paulo",64.0,3.0,2190
218,norte,"Avenida Rangel Pestana, Jardim Brasília (zona Norte), São Paulo Zona Norte, São Paulo",29.0,1.0,1490
219,norte,"Rua Lídia Coelho, Santana, São Paulo Zona Norte, São Paulo",31.0,1.0,1650
220,norte,"Rua Francisco Bernardino, Vila Pereira Cerca, São Paulo Zona Norte, São Paulo",250.0,3.0,4000
221,norte,"Rua Itaiquara, Itaberaba, São Paulo Zona Norte, São Paulo",54.0,2.0,1460
222,norte,"Avenida Sanatório, Jardim Modelo, São Paulo Zona Norte, São Paulo",59.0,1.0,1250
223,norte,"Rua Soror Angélica, Vila Ester (zona Norte), São Paulo Zona Norte, São Paulo",90.0,3.0,2220
224,norte,"Rua Sousa Lopes, Lauzane Paulista, São Paulo Zona Norte, São Paulo",284.0,4.0,6780
225,norte,"Avenida Zumkeller, Parque Mandaqui, São Paulo Zona Norte, São Paulo",50.0,2.0,1560
226,norte,"Rua Manuel José De Almeida, Vila Cruz Das Almas, São Paulo Zona Norte, São Paulo",275.0,5.0,3200
227,norte,"Rua Hanna Abduch, Vila Palmeiras, São Paulo Zona Norte, São Paulo",100.0,3.0,1800
228,norte,"Rua Alfredo Pujol, Santana, São Paulo Zona Norte, São Paulo",67.0,2.0,1700
229,norte,"Rua Engenheiro Albano De Azevedo, Vila Primavera, São Paulo Zona Norte, São Paulo",125.0,2.0,2500
230,norte,"Rua Francisco Da Lira, Jardim Leonor Mendes De Barros, São Paulo Zona Norte, São Paulo",92.0,2.0,1785
231,norte,"Rua Antônio Campelo, Vila Vitório Mazzei, São Paulo Zona Norte, São Paulo",52.0,2.0,1790
232,norte,"Rua Eugênio De Freitas, Vila Guilherme, São Paulo Zona Norte, São Paulo",63.0,3.0,2200
233,norte,"Rua Professor João Machado, Nossa Senhora Do Ó, São Paulo Zona Norte, São Paulo",59.0,2.0,2300
234,norte,"Rua Casa Forte, Água Fria, São Paulo Zona Norte, São Paulo",300.0,3.0,6000
235,norte,"Rua Borges, Parada Inglesa, São Paulo Zona Norte, São Paulo",55.0,2.0,1910
236,norte,"Rua Orindiúva, Vila Maria Alta, São Paulo Zona Norte, São Paulo",50.0,2.0,2000
237,norte,"Avenida Inajar De Souza, Limão, São Paulo Zona Norte, São Paulo",45.0,2.0,1710
238,norte,"Avenida Professor Celestino Bourroul, Limão, São Paulo Zona Norte, São Paulo",75.0,2.0,2270
239,norte,"Rua Voluntários Da Pátria, Santana, São Paulo Zona Norte, São Paulo",90.0,2.0,2300
240,norte,"Rua Antônio Campelo, Vila Vitório Mazzei, São Paulo Zona Norte, São Paulo",51.0,2.0,1850
241,norte,"Rua Pixibas, Vila Gustavo, São Paulo Zona Norte, São Paulo",35.0,1.0,1300
242,norte,"Rua Reims, Jardim Das Laranjeiras, São Paulo Zona Norte, São Paulo",90.0,2.0,2300
243,norte,"Avenida Itaberaba, Itaberaba, São Paulo Zona Norte, São Paulo",80.0,2.0,1900
244,norte,"Rua Guanapus, Vila Dom Pedro Ii, São Paulo Zona Norte, São Paulo",78.0,2.0,2000
245,norte,"Avenida Itaberaba, Nossa Senhora Do Ó, São Paulo Zona Norte, São Paulo",56.0,2.0,2360
246,norte,"Rua Dos Camarés, Carandiru, São Paulo Zona Norte, São Paulo",49.0,2.0,2200
247,norte,"Rua Pontins, Santana, São Paulo Zona Norte, São Paulo",240.0,4.0,5500
248,norte,"Rua Voluntários Da Pátria, Santana, São Paulo Zona Norte, São Paulo",40.0,1.0,2500
